BloodPressure,z_score,within_1sd,within_2sd,within_3sd
72,0.14954329852954296,True,True,True
66,-0.16044119073007646,True,True,True
64,-0.26376935381661626,True,True,True
66,-0.16044119073007646,True,True,True
40,-1.5037073108550938,False,True,True
74,0.25287146161608276,True,True,True
50,-0.9870664954223949,True,True,True
0,-3.5702705725858896,False,False,False
70,0.04621513544300315,True,True,True
96,1.3894812555680205,False,True,True
92,1.1828249293949409,False,True,True
74,0.25287146161608276,True,True,True
80,0.5628559508757022,True,True,True
60,-0.47042567998969587,True,True,True
72,0.14954329852954296,True,True,True
0,-3.5702705725858896,False,False,False
84,0.7695122770487818,True,True,True
74,0.25287146161608276,True,True,True
30,-2.020348126287793,False,False,True
70,0.04621513544300315,True,True,True
88,0.9761686032218614,True,True,True
84,0.7695122770487818,True,True,True
90,1.0794967663084012,False,True,True
80,0.5628559508757022,True,True,True
94,1.2861530924814808,False,True,True
70,0.04621513544300315,True,True,True
76,0.35619962470262256,True,True,True
66,-0.16044119073007646,True,True,True
82,0.666184113962242,True,True,True
92,1.1828249293949409,False,True,True
75,0.30453554315935266,True,True,True
76,0.35619962470262256,True,True,True
58,-0.5737538430762357,True,True,True
92,1.1828249293949409,False,True,True
78,0.45952778778916237,True,True,True
60,-0.47042567998969587,True,True,True
76,0.35619962470262256,True,True,True
76,0.35619962470262256,True,True,True
68,-0.057113027643536644,True,True,True
72,0.14954329852954296,True,True,True
64,-0.26376935381661626,True,True,True
84,0.7695122770487818,True,True,True
92,1.1828249293949409,False,True,True
110,2.1127783971737992,False,False,True
64,-0.26376935381661626,True,True,True
66,-0.16044119073007646,True,True,True
56,-0.6770820061627755,True,True,True
70,0.04621513544300315,True,True,True
66,-0.16044119073007646,True,True,True
0,-3.5702705725858896,False,False,False
80,0.5628559508757022,True,True,True
50,-0.9870664954223949,True,True,True
66,-0.16044119073007646,True,True,True
90,1.0794967663084012,False,True,True
66,-0.16044119073007646,True,True,True
50,-0.9870664954223949,True,True,True
68,-0.057113027643536644,True,True,True
88,0.9761686032218614,True,True,True
82,0.666184113962242,True,True,True
64,-0.26376935381661626,True,True,True
